Location,Latitude,Longitude,Rating,Description
"Westlake School, Jefferson Elementary School District, Daly City, CA 94015",37.7049894,-122.4796501,6,Five panes of glass broken in E-W wall of north wing. None broke in two other similar wings. Slight stucco cracking.
"Woodrow Wilson School, Jefferson Elementary School District, Daly City, CA 94014",37.7039537,-122.4647721,6,Few small stucco cracks in usual places.
"Jefferson Union High School, Daly City, CA 94014",37.629268,-122.4806894,6,Patches of plaster fell from wood lath; light fixtures thrown down; cracks opened in plaster walls; brick chimney cracked (removal recommended). Gym and Pool: Rod bracing in roof showed signs of marked movement. Some rods loosened and ridge strut out of line. Water storage tank saddle in boiler room broke. Roof tile appeared to have shifted. Cafeteria: Considerable movement between concrete frames and adjacent floor on west side. Base mold and tile damaged. Cement stucco broke off from edge of landing of concrete stairway. Few small cracks in interior plaster.
"Westmoor High School, Daly City, CA 94015",37.6835403,-122.4826668,6,Bricks fell from work under construction.
"161 Crestwood Dr, Daly City, CA 94015",37.6979479,-122.4844103,6,Dishes broke. Plaster cracked slightly. Chimney and water heater twisted. Damage slight. Ground: Soil.
"432 Bellevue Ave, Daly City, CA 94014",37.7057872,-122.4493557,6,Dishes broke. Plaster cracked. Damage slight to considerable. Ground: Sloping.
"365 Winchester St, County Line, Daly City, CA 94014",37.7056317,-122.4546761,6,"Dishes broke. Damage slight. Ground: Compact sand, sloping."
"43 Royce Way, Daly City, CA 94014",37.6917491,-122.4546302,6,Dishes broke. Plaster cracked. Damage slight to concrete. Ground: Sloping.
"65 Theta Ave, Daly City, CA 94014",37.7040028,-122.4637609,6,Dishes broke. Plaster cracked. Damage slight. Ground: Compact.
"137 Bismark St, Daly City, CA 94014",37.6961069,-122.4613174,6,"Dishes broke. Walls cracked. Damage slight. Ground: Loose, terraced."
"154 Wyandette, Daly City, CA 94014",37.6980779,-122.4604508,6,"Dishes broke. Plaster and walls cracked. Damage slight. Ground: Soil, compact, level."
"27 Woodrow St, Daly City, CA 94014",37.7044436,-122.4673676,6,Dishes broke. Plaster and walls cracked. Damage slight. Ground: Soil.
"72 Wilson St, Daly City, CA 94014",37.7077967,-122.4589161,6,Dishes broke. Plaster cracked. Damage slight.
"227 Winchester St, Daly City, CA 94014",37.7066914,-122.4522452,6,"Dishes and furniture broke. Plaster and walls cracked. Damage slight ($20). Ground: Soil, level."
"3242 San Jose Ave, Daly City, CA 94014",37.70812,-122.4595364,6,"Dishes broke. Plaster and walls cracked. Fireplace pulled away from wall. Few exterior hairline cracks. Bed, dressers, stove, and refrigerator shifted. Damage slight. Ground: Level, compact."
"268 Evergreen Ave, Daly City, CA 94014",37.7056319,-122.4560345,6,"Moved wood stove 3 inches. Dishes broke. Windows cracked. Damage slight. Ground: Soil, loose, level."
"91 San Joaquin, Daly City, CA 94014",37.6904558,-122.4523855,6,"Dishes broke. Plaster cracked. Everything shifted. Slight stucco cracks. Damage slight. Ground: Soil, slightly sloping."
"742 Templeton Ave, Daly City, CA 94014",37.7035621,-122.4509706,6,"Stove and refrigerator shifted about 2 inches. Dishes broke. Plaster and walls cracked. Ceiling and stucco cracked. Plaster fell. Damage slight. Ground: Rocky soil, compact, steep (hillside of San Bruno Mountains)."
"231 Acton St, Daly City, CA 94014",37.7060991,-122.4509148,6,"Knickknacks broke. Plaster cracked. Damage slight. Ground: Compact, sloping."
"6275 Mission St, Daly City, CA 94014",37.7059768,-122.460725,6,Dishes broke. Plaster and walls cracked. Heavy twisting and wrenching. Damage slight. Ground: Soil.
"old Daly City business district, Daly City, CA 94014",37.70636,-122.46859,6,"Dishes broke. Interior concrete walls and plaster cracked. Ground: Soil, compact."
"884 Templeton Ave, Daly City, CA 94014",37.7025631,-122.4535687,6,"Dishes broke. Plaster, walls, and chimneys cracked. Damage slight. Ground: Soil, sand, sloping."
"145 School St, Daly City, CA 94014",37.6932545,-122.4673936,6,Dishes broke. Heavier furniture shifted a little. Many exterior plaster cracks on apartment building. Damage slight ($20).
"61 Fairway Dr, Daly City, CA 94015",37.6999945,-122.4789427,6,Dishes broke. Plaster and walls cracked. Damage slight to concrete and stucco. Ground: Filled in.
"606 San Diego Ave, Daly City, CA 94014",37.6992887,-122.4661695,6,"Dishes, windows, and furniture broke. Plaster cracked. Damage slight. Ground: Soil."
"56 Market St W, Daly City, CA 94014",37.6896784,-122.4654973,6,"Dishes broke. Plaster and walls cracked. Damage slight to concrete. Ground: Compact, level."
"488 Willits St, near Highway 101, Daly City, CA 94014",37.6969657,-122.468089,6,"Stove moved 2 inches. Vases broke. Plaster cracked; small exterior stucco cracks. Damage slight to concrete. Ground: Sandy, sloping."
"748 Beechwood Dr, Daly City, CA 94015",37.6878296,-122.4852107,6,Water heater pulled away from pipes. No cracks; no breakage. Damage slight.
"1209 Mayfair, Westlake, Daly City, CA 94015",37.690585,-122.491504,6,"Few dishes broke. Wallboard cracked slightly. Damage slight. Ground: Compact soil, sloping; cut, not fill."
"234 No. Mayfair, Westlake, Daly City, CA 94015",37.7031035,-122.4805788,6,"Dishes and windows broke. Plaster, windows, and walls cracked. Damage slight to brick, masonry, and concrete. Ground: Soil, level."
"34 Cliffside Dr, Westlake, Daly City, CA 94015",37.7041883,-122.4822721,6,"Dishes broke. Slight crack in one bedroom. Damage slight. Ground: Loose, level."
"23 Westmont Dr, Westlake, Daly City, CA 94015",37.7009478,-122.4913235,6,"Dishes broke. Plaster, walls, and ground cracked. Damage slight. Ground: Soil, sloping."
"54 Wilshire Ave, Westlake, Daly City, CA 94015",37.706095,-122.4742924,6,"Dishes broke. Plaster and exterior wall cracked. Damage slight. Ground: Soil, level."
"71 Baldwin Ave, Westlake, Daly City, CA 94015",37.6842999,-122.4862387,6,Dishes broke. Plaster and walls cracked. Pipes twisted. Damage slight. Ground: Filled in.
"36 Oakmont Dr, Westlake, Daly City, CA 94015",37.6949296,-122.4924352,6,"Dishes broke. Stove moved. Damage slight to concrete. Ground: Compact, sloping."
"791 So. Mayfair, Westlake, Daly City, CA 94015",37.6988785,-122.4918707,6,"Dishes broke. Walls cracked. Damage slight. Ground: Soil, compact, sloping."
"115 Fairway Dr, Westlake, Daly City, CA 94015",37.6975345,-122.4799156,6,Dishes broke. Plaster and walls cracked. Damage slight. Ground: Sloping.
"691 So. Mayfair, Westlake, Daly City, CA 94015",37.6999836,-122.4881319,6,"Dishes and one window broke. Plaster cracked. Damage slight. Ground: Compact, sloping; house faces Lake Merced."
"67 Lake Vista, Westlake, Daly City, CA 94015",37.7040601,-122.4784026,6,"Dishes broke. Plaster and walls cracked. Damage little more than slight. Ground: Soil, filled in."
"91 Garden Grove, Westlake, Daly City, CA 94015",37.7018779,-122.494529,6,"Plaster and walls cracked. Damage slight. Ground: Soil, compact, level."
"657 Stonyford Dr, Daly City, CA 94015",37.6884641,-122.4856473,6,"Cracks around fireplace. Water heater pipes broke. Damage slight. Ground: Soil, clay, sloping."
"50 Lekewood Dr, Daly City, CA 94015",37.6977384,-122.4911024,6,"Dishes broke. Damage slight. Ground: Soil, slightly sloping, filled in."
"111 So. Mayfair, Daly City, CA 94015",37.7033796,-122.4761314,6,"Not much breakage. Stove, table, and refrigerator moved. Pictures askew but glass not broken."
"181 Park Plaza Dr, Daly City, CA 94015",37.6986938,-122.480203,6,Dishes broke. Moved range 4 inches from wall. Damage slight.
"382 Skyline Dr, Westlake Palisades, Daly City, CA 94015",37.6863726,-122.4901009,6,"Dishes broke. Plaster and ground cracked. Damage considerable. Ground: Sandy, sloping."
"15 Seacliff Ave, Westlake Palisades, Daly City, CA 94015",37.6892687,-122.4927975,6,"Dishes broke. Three cracks in sheetrock walls. Damage slight. Ground: Rocky soil, steep."
"160 Northgate, Daly City, CA 94015",37.7029752,-122.4898202,5,"Damage slight. (No details.) Ground: Soil, sloping."
"47 Fairview Ave, Daly City, CA 94015",37.6877543,-122.4868831,5,"No damage. Ground: Sloping, compact."
"Television Peak, KRON, Mt. San Bruno, Daly City, CA 94014",37.6304904,-122.4110835,5,No damage as far as I know on Mt. San Bruno.
"231 Station Ave, Daly City, CA 94014",37.6909912,-122.4687793,5,"Dishes broke. Damage slight. Ground: Soil, level."
"57 Muirwood Dr, Daly City, CA 94015",37.7017227,-122.4608147,5,"No damage. Most aftershocks felt like a big truck hitting west end of house and sounded like a loud blast. Motion E-W. Ground: Rocky, steep."
"803 Ellis Dr, Daly City, CA 94015",37.694799,-122.4855312,5,"Dishes broke. Ground: Soil, slight north slope."
